company_id,company_name
13241,Demarest Films
14358,1821 Pictures
25608,Quick Draw Productions
4395,Monogram Pictures
75567,Amaru Films
a cinematografica id 73,F
12767,PAC
17619,Atlas Film
3287,Screen Gems
15980,Incorporated Television Company ITC
16710,Lord Grade
92312,Jack Wiener Production
23496,Les Films de lAnge
7954,Filmwerks
21437,Imperial Entertainment
126,Lakeshore Entertainment
22512,Arlington Road Productions Corporation
22513,Gorai  Samuelson Productions
22514,Samuelson Productions
12727,GRP Cinematografica
70305,Cinestampa Internazionale
1138,Filmways Pictures
17069,Larco Productions
16934,View Askew Productions
105,Ciby 2000
955,Nikkatsu
5993,Curb Entertainment
22290,Bergman Lustig Productions
2995,Atmosphere Entertainment MM
10405,EmmettFurla Films
11761,Mark Canton Productions
31832,Envision Entertainment
36212,Boies  Schiller Film Group
ge Entertainment id 46961,Knightsbr
3137,Jaleo Films
24017,Andy Joke
24018,Paloma Juanes
2073,Kadokawa Pictures
7036,CJ Entertainment
6417,Film i Vst
591,France 3 Cinma
1610,CED Productions
7576,Eon Productions
10761,Danjaq
875,Films A2
37246,Films de la Demoiselle
37249,La Fabrique
168,Jadran Film
14925,Howard Productions
28205,Samuel Goldwyn Company The
10593,Wrather Productions
5070,Shchiku Eiga
800,Wheel Productions
2852,CCCP
7850,Sciapode
11687,Le Fresnoy Studio National des Arts Contemporains
22484,Ultima Vez
654,South Pacific Pictures
25,20th Century Fox
1644,Largo Entertainment
4248,JVC Entertainment Networks
3848,Chimichanga Productions
21201,Music Link Productions
21235,MacDonaldMurray Productions
69395,Cinemanila
183,Le Studio Canal
620,Centropolis Film Productions
75620,JTP Productions
eo id 75621,13th Dimensional V
662,TurmanFoster Company
18582,Bert I Gordon Productions
559,TriStar Pictures
659,London Film Productions
660,British Lion Film Corporation
34317,Trinity Productions
661,Nouvelles ditions de Film
3166,Walt Disney Productions
16685,United Artists Pictures
15567,Boyana Film
74743,Sofiya
9015,Worldview Entertainment
2608,Happy Madison Productions
7431,Sony Pictures Entertainment SPE
1988,Epic Productions
13999,Avon Productions II
48791,Imperadio Pictures Ltd
12357,Oxymoron Entertainment
12358,Mallick Media
1212,Empire Pictures
2370,Merchant Ivory Productions
44751,Vision Associates Productions
Company id 44752,Lisa and Dav
2230,MGM Television
3902,CBS Entertainment Productions
9027,Hallmark Hall of Fame Productions
4639,Arzu Film
a Film id 42712,F
7139,Thirupathi Brothers
288,BBC Films
7352,Gunslinger
21627,Film London
21628,Microwave Film
21629,Aimimage Productions
76705,Jones Programming Partners
3681,Gorky Film Studio
1,Lucasfilm
38,Zesp Filmowy TOR
1245,Tlvision SuisseRomande
73820,Frontera Films SA
1647,PM Entertainment Group
500,Goldcrest Films International
502,International Film Investors
664,City Film
5405,Roy Andersson Filmproduktion AB
6916,Arte France Cinma
11011,Fonds Eurimages du Conseil de lEurope
11237,ZDFArte
17298,Centre National du Cinma et de Limage Anime CNC
20691,Essential Filmproduktion GmbH
22627,Film und Medienstiftung NRW
25522,Socit Parisienne de Production
38957,4 12 Film
46201,Norsk Filmfond
74257,Finition Productions
7270,Opus Pictures
11345,Stillking Films
21122,SnowPiercer
34725,Moho Film
35411,Mediarts
35412,Hemmings
4056,Hallmark Entertainment
10102,Cattleya
22393,Babe Film
5324,Brigada
4899,Allegro Films
